iter	Passed	Remaining
406	5938	8652
407	5950	8633
408	5966	8620
409	5981	8607
410	5996	8593
411	6008	8575
412	6022	8560
413	6037	8545
414	6051	8530
415	6066	8516
416	6080	8501
417	6102	8497
418	6119	8486
419	6135	8472
420	6149	8457
421	6164	8443
422	6179	8429
423	6196	8417
424	6210	8402
425	6225	8387
426	6239	8372
427	6252	8355
428	6267	8342
429	6282	8328
430	6299	8316
431	6318	8307
432	6334	8295
433	6350	8281
434	6364	8266
435	6383	8257
436	6405	8252
437	6420	8238
438	6439	8228
439	6453	8213
440	6466	8196
441	6481	8182
442	6497	8169
443	6514	8157
444	6531	8146
445	6550	8136
446	6563	8120
447	6578	8105
448	6592	8089
449	6609	8077
450	6623	8062
451	6636	8046
452	6650	8030
453	6665	8016
454	6683	8005
455	6699	7992
456	6716	7980
457	6731	7965
458	6747	7952
459	6761	7937
460	6773	7920
461	6786	7902
462	6799	7886
463	6812	7869
464	6826	7854
465	6838	7836
466	6853	7822
467	6867	7806
468	6880	7790
469	6894	7774
470	6906	7757
471	6921	7742
472	6933	7725
473	6947	7709
474	6963	7696
475	6979	7683
476	6992	7666
477	7004	7649
478	7018	7633
479	7031	7617
480	7045	7601
481	7058	7585
482	7069	7567
483	7082	7550
484	7096	7535
485	7110	7520
486	7123	7503
487	7136	7487
488	7148	7470
489	7162	7454
490	7176	7440
491	7191	7424
492	7204	7409
493	7217	7392
494	7232	7378
495	7245	7362
496	7258	7346
497	7271	7330
498	7284	7313
499	7297	7297
500	7310	7281
501	7323	7265
502	7336	7249
503	7349	7233
504	7365	7219
505	7378	7203
506	7393	7189
507	7408	7175
508	7423	7161
509	7437	7145
510	7449	7128
511	7466	7116
512	7478	7099
513	7491	7083
514	7503	7066
515	7517	7051
516	7530	7035
517	7542	7018
518	7556	7003
519	7569	6987
520	7582	6971
521	7596	6956
522	7612	6943
523	7625	6927
524	7638	6911
525	7652	6896
526	7666	6881
527	7679	6865
528	7691	6848
529	7704	6832
530	7717	6816
531	7738	6807
532	7751	6791
533	7765	6776
534	7778	6760
535	7792	6745
536	7805	6729
537	7825	6720
538	7840	6705
539	7853	6690
540	7917	6717
541	7969	6734
542	7985	6720
543	8020	6723
544	8032	6706
545	8047	6691
546	8061	6676
547	8076	6661
548	8089	6645
549	8101	6628
550	8114	6612
551	8126	6595
552	8138	6578
553	8151	6562
554	8163	6545
555	8176	6529
556	8190	6514
557	8203	6498
558	8216	6481
559	8229	6465
560	8244	6451
561	8259	6436
562	8272	6421
563	8286	6405
564	8300	6390
565	8312	6374
566	8326	6358
567	8339	6342
568	8353	6327
569	8366	6311
570	8378	6295
571	8392	6279
572	8407	6265
573	8420	6249
574	8436	6235
575	8450	6220
576	8467	6207
577	8481	6192
578	8492	6175
579	8506	6160
580	8520	6144
581	8533	6128
582	8545	6112
583	8557	6095
584	8570	6079
585	8583	6064
586	8598	6049
587	8612	6034
588	8627	6019
589	8639	6003
590	8651	5987
591	8665	5972
592	8683	5959
593	8702	5947
594	8720	5935
595	8736	5921
596	8752	5908
597	8768	5894
598	8783	5879
599	8799	5866
600	8813	5851
601	8828	5836
602	8844	5822
603	8858	5808
604	8874	5794
605	8891	5781
606	8912	5770
607	8928	5756
608	8942	5741
609	8956	5726
610	8971	5711
611	8986	5697
612	9003	5683
613	9018	5669
614	9033	5655
615	9048	5640
616	9060	5624
617	9075	5609
618	9092	5596
619	9110	5583
620	9125	5569
621	9147	5559
622	9162	5544
623	9176	5529
624	9192	5515
625	9206	5500
626	9221	5485
627	9237	5471
628	9252	5457
629	9266	5442
630	9281	5427
631	9296	5412
632	9313	5399
633	9332	5387
634	9347	5372
635	9361	5358
636	9376	5343
637	9392	5329
638	9407	5314
639	9428	5303
640	9443	5288
641	9457	5273
642	9471	5258
643	9484	5242
644	9496	5227
645	9511	5212
646	9526	5197
647	9540	5182
648	9552	5166
649	9564	5149
650	9577	5134
651	9591	5119
652	9604	5103
653	9616	5087
654	9629	5072
655	9643	5057
656	9656	5041
657	9669	5025
658	9681	5009
659	9694	4993
660	9708	4979
661	9723	4964
662	9741	4951
663	9754	4936
664	9767	4920
665	9779	4904
666	9791	4888
667	9804	4872
668	9816	4857
669	9829	4841
670	9843	4826
671	9856	4810
672	9869	4795
673	9882	4780
674	9896	4764
675	9908	4749
676	9921	4733
677	9935	4718
678	9954	4705
679	9968	4690
680	9981	4675
681	9994	4660
682	10006	4644
683	10020	4629
684	10033	4614
685	10047	4598
686	10061	4583
687	10072	4567
688	10085	4552
689	10098	4537
690	10111	4521
691	10124	4506
692	10136	4490
693	10155	4477
694	10169	4462
695	10183	4447
696	10195	4432
697	10209	4417
698	10222	4401
699	10234	4386
700	10246	4370
701	10261	4356
702	10274	4340
703	10287	4325
704	10300	4309
705	10312	4294
706	10326	4279
707	10340	4264
708	10357	4251
709	10371	4236
710	10383	4220
711	10396	4205
712	10411	4190
713	10424	4175
714	10438	4160
715	10454	4146
716	10469	4132
717	10481	4116
718	10494	4101
719	10507	4086
720	10520	4071
721	10532	4055
722	10544	4040
723	10567	4028
724	10586	4015
725	10600	4000
726	10613	3985
727	10625	3969
728	10638	3954
729	10651	3939
730	10664	3924
731	10678	3909
732	10693	3895
733	10709	3881
734	10726	3867
735	10744	3853
736	10766	3841
737	10779	3827
738	10793	3811
739	10805	3796
740	10817	3781
741	10830	3765
742	10845	3751
743	10857	3735
744	10870	3720
745	10883	3705
746	10896	3690
747	10908	3675
748	10922	3660
749	10935	3645
750	10946	3629
751	10963	3615
752	10979	3601
753	10995	3587
754	11008	3572
755	11020	3556
756	11034	3541
757	11046	3526
758	11058	3511
759	11071	3496
760	11086	3481
761	11105	3468
762	11118	3453
763	11132	3438
764	11145	3423
765	11157	3408
766	11171	3393
767	11187	3379
768	11203	3365
769	11216	3350
770	11229	3335
771	11240	3319
772	11252	3304
773	11266	3289
774	11279	3274
775	11293	3259
776	11305	3244
777	11318	3229
778	11332	3215
779	11344	3199
780	11356	3184
781	11368	3169
782	11382	3154
783	11398	3140
784	11417	3127
785	11430	3112
786	11444	3097
787	11459	3083
788	11476	3069
789	11492	3054
790	11507	3040
791	11529	3027
792	11545	3013
793	11560	2999
794	11574	2984
795	11591	2970
796	11608	2956
797	11624	2942
798	11639	2927
799	11653	2913
800	11666	2898
801	11682	2884
802	11697	2869
803	11714	2855
804	11729	2841
805	11743	2826
806	11758	2812
807	11772	2797
808	11787	2783
809	11804	2769
810	11823	2755
811	11842	2741
812	11859	2727
813	11874	2713
814	11888	2698
815	11904	2684
816	11920	2670
817	11936	2655
818	11951	2641
819	11965	2626
820	11984	2612
821	12009	2600
822	12024	2586
823	12044	2572
824	12064	2559
825	12081	2545
826	12100	2531
827	12123	2518
828	12141	2504
829	12156	2489
830	12171	2475
831	12183	2460
832	12196	2445
833	12209	2430
834	12222	2415
835	12237	2400
836	12255	2386
837	12269	2371
838	12282	2356
839	12294	2341
840	12307	2326
841	12319	2311
842	12333	2296
843	12348	2282
844	12361	2267
845	12374	2252
846	12385	2237
847	12401	2222
848	12414	2207
849	12430	2193
850	12446	2179
851	12462	2164
852	12476	2150
853	12489	2135
854	12502	2120
855	12516	2105
856	12529	2090
857	12544	2076
858	12556	2061
859	12569	2046
860	12582	2031
861	12594	2016
862	12606	2001
863	12620	1986
864	12638	1972
865	12655	1958
866	12670	1943
867	12683	1928
868	12697	1914
869	12709	1899
870	12723	1884
871	12736	1869
872	12752	1855
873	12768	1840
874	12784	1826
875	12801	1812
876	12815	1797
877	12830	1782
878	12842	1767
879	12857	1753
880	12874	1738
881	12887	1724
882	12900	1709
883	12913	1694
884	12926	1679
885	12938	1664
886	12951	1649
887	12965	1635
888	12979	1620
889	12992	1605
890	13003	1590
891	13019	1576
892	13032	1561
893	13046	1546
894	13060	1532
895	13075	1517
896	13113	1505
897	13127	1491
898	13141	1476
899	13152	1461
900	13165	1446
901	13178	1431
902	13191	1417
903	13204	1402
904	13216	1387
905	13234	1373
906	13249	1358
907	13263	1343
908	13279	1329
909	13294	1314
910	13308	1300
911	13324	1285
912	13337	1270
913	13349	1256
914	13363	1241
915	13380	1227
916	13396	1212
917	13408	1197
918	13420	1182
919	13443	1169
920	13457	1154
921	13472	1139
922	13488	1125
923	13501	1110
924	13514	1095
925	13530	1081
926	13542	1066
927	13555	1051
928	13569	1037
929	13582	1022
930	13595	1007
931	13607	992
932	13620	978
933	13634	963
934	13647	948
935	13661	934
936	13675	919
937	13689	904
938	13705	890
939	13718	875
940	13732	860
941	13745	846
942	13758	831
943	13769	816
944	13783	802
945	13797	787
946	13809	772
947	13822	758
948	13835	743
949	13847	728
950	13860	714
951	13874	699
952	13886	684
953	13902	670
954	13917	655
955	13930	641
956	13943	626
957	13955	611
958	13968	597
959	13982	582
960	13996	567
961	14008	553
962	14023	538
963	14037	524
964	14058	509
965	14072	495
966	14086	480
967	14101	466
968	14115	451
969	14130	437
970	14152	422
971	14201	409
972	14225	394
973	14246	380
974	14279	366
975	14337	352
976	14359	338
977	14402	323
978	14424	309
979	14459	295
980	14497	280
981	14536	266
982	14574	252
983	14603	237
984	14620	222
985	14659	208
986	14690	193
987	14720	178
988	14755	164
989	14789	149
990	14849	134
991	14899	120
992	14921	105
993	14947	90
994	14975	75
995	15020	60
996	15064	45
997	15094	30
998	15130	15
999	15163	0
